,product name,image url 1,image url 2,price,category
252,Embroidered Panel Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/k/s/ksf18129_khaki__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/k/s/ksf18129_khaki__1_.jpg,"PKR12,000",Embroidered panel kurta with button detailing.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
253,Printed Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/c/t/ctdp19111_black_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/c/t/ctdp19111_black_7_.jpg,"PKR2,300",Printed kurtaThe model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
254,Printed Satin Kurta with Dupatta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/k/d/kdpe19101_grey__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/k/d/kdpe19101_grey__1_.jpg,"PKR5,500",Printed satin kurta with button detailing on the neckline paired with dupatta.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
255,LR19123,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/r/lr19123a-1.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/r/lr19123a-2.jpg,"PKR1,900",Front & Sleeve Lawn Printed 2.0mBack Lawn Printed 1.25mPrinted Lawn Dupatta 2.5m
256,LR19123,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/r/lr19123b-1_1.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/r/lr19123b-2.jpg,"PKR1,900",Front & Sleeve Lawn Printed 2.0mBack Lawn Printed 1.25mPrinted Lawn Dupatta 2.5m
257,LR19122,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/r/lr19122b-1.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/r/lr19122b-2.jpg,"PKR1,900",Printed Lawn Shirt 3.0mPrinted Lawn Dupatta 2.5m
258,LR19122,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/r/lr19122a-1.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/r/lr19122a-2.jpg,"PKR1,900",Printed Lawn Shirt 3.0mPrinted Lawn Dupatta 2.5m
259,LR19121,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/r/lr19121b-1.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/l/r/lr19121b-2.jpg,"PKR1,900",Front & Back Lawn Printed 2.5mSleeves Lawn Printed 0.75mPrinted Lawn Dupatta 2.5m
260,AR19111,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/a/r/ar19111b-1_1.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/a/r/ar19111b-2_1.jpg,"PKR2,500",Front & Back Lawn Printed 2.5mSleeve Lawn Printed 0.75mLawn Printed Dupatta 2.5mShalwar 2.5m
261,AR19111,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/a/r/ar19111a-1.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/a/r/ar19111a-2.jpg,"PKR2,500",Front & Back Lawn Printed 2.5mSleeve Lawn Printed 0.75mLawn Printed Dupatta 2.5mShalwar 2.5m
262,AR19109,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/a/r/ar19109a-1_1.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/a/r/ar19109a-2_1.jpg,"PKR2,500",Front & Back Lawn Printed 2.5mSleeve Lawn Printed 1mLawn Printed Dupatta 2.5mShalwar 2.5m
