,product name,image url,product category,price
107,Blue Casual Shirt CM-YD-2657,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2657_1_.jpg,M-AP-19-191621 -P,"PKR 1,797"
108,Blue Casual Shirt CM-YD-2656,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2656_3_.jpg,M-AP-19-191616 -P,"PKR 1,797"
109,Navy Casual Shirt CM-YD-2655,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2655_4_.jpg,M-AP-19-191611 -P,"PKR 1,797"
110,Sky Blue Casual Shirt CM-YD-2654,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2654_2_.jpg,M-AP-19-191606 -P,"PKR 1,797"
111,Bavy Blue Casual Shirt CM-YD-2653,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2653_3_.jpg,M-AP-19-191601 -P,"PKR 1,797"
112,Navy Casual Shirt CM-YD-2650,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2650_1__1.jpg,M-AP-19-191586 -P,"PKR 1,797"
113,White Casual Shirt CM-YD-2649,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2649_1_.jpg,M-AP-19-191581 -P,"PKR 1,797"
114,Black Casual Shirt CM-YD-2647,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2647_1_.jpg,M-AP-19-191571 -P,"PKR 1,797"
115,Sky White Casual Shirt CM-YD-2646,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2646_3_.jpg,M-AP-19-191566 -P,"PKR 1,797"
116,Black & White Casual Shirt CM-YD-2645,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2645_1_.jpg,M-AP-19-191561 -P,"PKR 1,797"
117,Blue White Checked Casual Shirt CM-YD-2635 CS,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2635_cs_4_.jpg,M-AP-19-190318 -P,"PKR 1,497"
118,Oatmeal Printed Polo PKP-URB-D45,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/k/pkp-urb-d45_2_.jpg,M-AP-19-187908 -P,PKR 897
119,Ash Grey Printed Polo PKP-URB-D44,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/k/pkp-urb-d44_2_.jpg,M-AP-19-187904 -P,PKR 897
